graph_size,bins,optimal_parts
10,"(0, 0)",30
10,"(0, 1)",28
10,"(0, 2)",27
10,"(0, 3)",30
10,"(0, 4)",32
10,"(1, 0)",32
10,"(1, 1)",32
10,"(1, 2)",30
10,"(1, 3)",30
10,"(1, 4)",30
10,"(2, 0)",32
10,"(2, 1)",32
10,"(2, 2)",32
10,"(2, 3)",30
10,"(2, 4)",32
10,"(3, 0)",32
10,"(3, 1)",32
10,"(3, 2)",32
10,"(3, 3)",30
10,"(3, 4)",30
10,"(4, 0)",32
10,"(4, 1)",32
10,"(4, 2)",25
10,"(4, 3)",19
10,"(4, 4)",20
11,"(0, 0)",72
11,"(0, 1)",69
11,"(0, 2)",67
11,"(0, 3)",63
11,"(0, 4)",55
11,"(1, 0)",80
11,"(1, 1)",81
11,"(1, 2)",81
11,"(1, 3)",76
11,"(1, 4)",82
11,"(2, 0)",80
11,"(2, 1)",81
11,"(2, 2)",76
11,"(2, 3)",83
11,"(2, 4)",82
11,"(3, 0)",82
11,"(3, 1)",82
11,"(3, 2)",82
11,"(3, 3)",82
11,"(3, 4)",83
11,"(4, 0)",82
11,"(4, 1)",82
11,"(4, 2)",71
11,"(4, 3)",72
11,"(4, 4)",52
12,"(0, 0)",74
12,"(0, 1)",58
12,"(0, 2)",59
12,"(0, 3)",59
12,"(0, 4)",53
12,"(1, 0)",77
12,"(1, 1)",72
12,"(1, 2)",78
12,"(1, 3)",71
12,"(1, 4)",79
12,"(2, 0)",77
12,"(2, 1)",78
12,"(2, 2)",79
12,"(2, 3)",72
12,"(2, 4)",73
12,"(3, 0)",77
12,"(3, 1)",79
12,"(3, 2)",79
12,"(3, 3)",76
12,"(3, 4)",79
12,"(4, 0)",78
12,"(4, 1)",63
12,"(4, 2)",28
12,"(4, 3)",39
12,"(4, 4)",33
13,"(0, 0)",61
13,"(0, 1)",62
13,"(0, 2)",58
13,"(0, 3)",63
13,"(0, 4)",59
13,"(1, 0)",62
13,"(1, 1)",63
13,"(1, 2)",64
13,"(1, 3)",63
13,"(1, 4)",59
13,"(2, 0)",62
13,"(2, 1)",63
13,"(2, 2)",63
13,"(2, 3)",63
13,"(2, 4)",59
13,"(3, 0)",62
13,"(3, 1)",63
13,"(3, 2)",56
13,"(3, 3)",64
13,"(3, 4)",60
13,"(4, 0)",63
13,"(4, 1)",58
13,"(4, 2)",50
13,"(4, 3)",39
13,"(4, 4)",34
